"",""
"AAAA","AAAA"
"Action","Akcija"
"Activate subscription","Aktiviraj trajnu narudžbu"
"Active","Aktivno"
"Addresses","Adrese"
"After","Poslije"
"After you click the Yes button, the current subscription will be cancelled, the items will be added to cart and you will have to proceed to checkout one more time to change the payment method.","Nakon što kliknete Da dugme, trenutna trajna narudžba će biti poništena, proizvodi će biti dodano u košaricu i morati ćete ići na checkout još jednom kako bi promjenili način plaćanja."
"Alert Details","Detalji obavijesti"
"Allow guest subscriptions","Dozvoli trajnu narudžbu za goste"
"Amount","Iznos"
"Appearance","Izgled"
"Are you sure?","Jeste li sigurni?"
"Are you sure you want to activate this subscription?","Jeste li sigurni da želite aktivirati ovu trajnu narudžbu?"
"Are you sure you want to delete this subscription?","Jeste li sigurni da želite obrisati ovu trajnu narudžbu?"
"Are you sure you want to prolong this subscription?","Jeste li sigurni da želite produžiti ovu trajnu narudžbu?"
"Are you sure you want to suspend this subscription?","Jeste li sigurni da želite suspendirati ovu trajnu narudžbu?"
"As low as:","Već od:"
"Availability: In stock.","Dostupnost: Na skladištu."
"Availability: Out of stock.","Dostupnost: Nema na skladištu."
"By buying %1$s you are getting additional %2$s%% discount.":"Kupnjom %1$s proizvoda, ostavarujete dodatnih %2$s%% popusta."
"Back","Natrag"
"Before","Prije"
"Billing Address","Adresa naplate"
"Canceled","Poništeno"
"Cancel subscription","Poništi trajnu narudžbu"
"Can not add item to shopping cart","Ne mogu dodati proizvod u košaricu"
"Can't find implementation of payment method $method","Ne mogu pronaći implementaciju metode naplate $method"
"Can't load products for period that doesn't exist","Ne mogu učitati proizvode za period koji ne postoji"
"Change Billing Address","Promjeni adresu naplate"
"Change Payment Method","Promjeni način plaćanja"
"Change Shipping Address","Promjeni adresu dostave"
"Comments History","Povijest Komentara"
"Completed payments","Završene naplate"
"Country","Zemlja"
"create an account","kreiraj korisnički račun"
"Create New Alert","Kreiraj Novu Obavijest"
"Create New Period","Kreiraj Novi Period"
"CSV","CSV"
"Customer","Kupac"
"Customer Since","Kupac od"
"Date","Datum"
"Days","Dana"
"Dear %s","Poštovani %s"
"Delete","Obriši"
"Delivery","Dostava"
"Edit Alert \"%s\"","Uredi Obavijest \"%s\""
"Edit","Edit"
"Edit period \"%s\"","Uredi period \"%s\""
"Edit subscription","Uredi trajnu narudžbu"
"Email","Email"
"Enable subscriptions","Omogući trajne narudžbe"
"Event type","Tip eventa"
"Excl. Tax:","Isključen Porez:"
"Excl. Tax","Isključen Porez"
"Expiration date","Datum isteka"
"Expired","Isteklo"
"expires at %s.","istječe na %s."
"expires at %s","istječe na %s"
"Expires","Istječe"
"First delivery:","Prvo slanje:"
"First delivery","Prvo slanje"
"First Delivery","Prvo Slanje"
"First Name","Ime"
"First Period Price:","Cijena Prvog Perioda:"
"General","General"
"Gift Message","Poruka dara (Gift)"
"Group","Grupa"
"has cancelled the","je poništio"
"has subscribed to","se preplatio na"
"Hours","Sati"
"ID","ID"
"Incl. Tax:","Uključen Porez:"
"Incl. Tax","Uključen Porez"
"Items Ordered","Proizvoda Naručeno"
"Last Name","Prezime"
"Last Order Amount","Cijena Zadnje Narudžbe"
"Last order state","Status Zadnje Narudžbe"
"link","link"
"log in","prijava"
"Main Details","Glavni Detalji"
"Monthly delivery","Mjesečna dostava"
"Months","Mjeseci"
"Name","Ime"
"Never","Nikad"
"New subscription","Nova trajna narudžba"
"Next delivery","Sljedeće slanje"
"Next Delivery","Sljedeće Slanje"
"Next payment","Sljedeće plaćanje"
"Next Payment","Sljedeće Plaćanje"
"No","Ne"
"No shipping information available","Nema informacija za dostavu"
"Notification Template","Predložak notifikacija"
"Ordered","Naručeno"
"Order #","Narudžba #"
"Order Status","Status Narudžbe"
"Order Totals","Cijene Narudžbe"
"Order was placed using %s","Narudžba je napravljena s %s"
"or","ili"
"Payment Information","Informaije za naplatu"
"Payment Method","Način plaćanja"
"Payments History","Povijest Naplata"
"Payments","Naplate"
"Pending payments","Naplate na čekanju"
"Period Details","Detalji Perioda"
"Period","Period"
"Postman Notice","Postman Notice"
"Price","Cijena"
"Product(s)","Proizvod(i)"
"Products","Proizvodi"
"Product was successfully converted to subscription","Proizvod je pretvoren u proizvod s trajnim nalogom"
"Prolong subscription","Produži trajni nalog"
"Recipient","Primatelj"
"Refunded","Refundirano"
"Regular Price:","Normalna Cijena:"
"Save","Spremi"
"Select Date","Odabir Datuma"
"Selected date is not valid for specified period","Odabrani datum nije valjan za specificirani period"
"Shipped","Poslano"
"Shipping Address","Adresa dostave"
"Shipping &amp; Handling Information","Dostava &amp; Otprema"
"Shipping Method","Način Dostave"
"Show next delivery column at customer","Prikaz stupca sljedeće dostave kupcu"
"Show next payment column at customer","Prikaz stupca sljedeće naplate kupcu"
"Show order amount column at customer","Prikaz stupca sveukupne cijene kupcu"
"Show postman notice at checkout","Show postman notice at checkout"
"SKU","SKU"
"Sorry, but this product cannot have a subscription","Ovaj proizvod ne može imati trajnu narudžbu"
"Sort Order","Sortiraj Narudžbe"
"Special Price:","Specijalna Cijena:"
"Starting at:","Počinje:"
"starts at %s","Počinje %s"
"Start","Start"
"State/Province","Županija/Provincija"
"Status","Status"
"Store","Trgovina"
"Subscribers","Preplatnici"
"Subscription Details - Billing Address","Detalji preplate - Adresa plaćanja"
"Subscription Details - Shipping Address","Detalji preplate - Adresa dostave"
"Subscription End","Kraj trajne narudžbe"
"Subscription Information","Informacije trajne narudžbe"
"Subscription Notification","Obavijesti trajne narudžbe"
"Subscription/recurring payment","Plaćanje preplate/trajne narudžbe"
"Subscriptions Alerts","Obavijesti trajnih narudžbi"
"Subscriptions List","Lista trajnih narudžbi"
"Subscriptions Periods","Periodi trajnih narudžbi"
"Subscriptions","Trajne narudžbe"
"Subscription start:","Početak trajne narudžbe:"
"Subscription Start","Početak trajne narudžbe"
"Subscription Status","Status trajne narudžbe"
"subscription","trajna narudžba"
"Subscription type:","Tip trajne narudžbe:"
"Subscription type","Tip trajne narudžbe"
"Suspended by customer","Suspendirano od strane kupca"
"Suspended","Suspendirano"
"Suspend subscription","Suspendiraj trajnu narudžbu"
"Telephone","Telefon"
"Template","Predložak"
"Thank for choosing us!","Hvala što ste odabrali nas!"
"This customer has no completed payments yet.","Ovaj kupac nema izvršenih plaćanja."
"This group is subscription","Ova grupa je trajna narudžba"
"This subscription already has no pending payments.","Ova trajna narudžba nema plaćanja na čekanju."
"This subscription is not active. If you want activate it, please click","Ova trajna narudžba nije aktivna. Ako je želite aktivirati, molimo kliknite"
"Title","Naslov"
"To extend the subscription, please follow this","Za produženje trajne narudžba, molimo popratite"
"To resume the subscription, please follow the","Za nastavak trajne narudžba, molimo popratite"
"Total incl. tax","Ukupno s porezom"
"Total","Ukupno"
"Track order","Prati narudžbu"
"Unsubscription","Unsubscription"
"Use radio buttons for selecting subscription type","Koristite dugmad za odabir tipa trajne narudžba"
"Website","Website"
"Weeks","Tjedana"
"We would like to inform that your subscription starts at %s","Želimo vas obavijestiti da vaša trajna narudžba počinje %s"
"We would like to remind you that your","Želimo vas podsjetiti da vaša"
"XML","XML"
"Years","Godina"
"Yes","Da"
"You can also buy this product using subscription but in this case you should","Možete kupiti trajnom narudžbom i ovaj proizvod, ali tad bi trebali"
"You can change payment method after first delivery","Možete promjeniti način plaćanja nakon prve dostave"
"You have canceled","Poništili ste"
"You have no subscription payments yet.","Nemate još računa za trajnu narudžbu."
"You have no subscriptions","Nemate trajnih narudžbi"
"You have subscribed to","Preplatili ste se na"
"ZIP","PP"
"Period type(s)","Tip(ovi) perioda"
"Subscription Price","Cijena Trajne Narudžba"
"First period price","Cijena prve narudžbe"
"On subscription, move to group","Na prijavi za trajnu narudžbu, pomakni u grupu"
"On unsubscription/expiry, move to group","Na odjavi/isteku trajne narudžbe, pomakni u grupu"
"Shipping cost","Cijena dostave"
"Allow guest subscriptions","Dozvoli trajnu narudžbu za gosta"
"Repeat each","Ponovi svakih"
"Expires After","Istječe nakon"
"Exclude Weekdays","Isključi dane"
"Require payment before, days","Traži naplatu prije (dana)"
"Subscription Start","Početak trajne narudžbe"
"Subscription End","Kraj trajne narudžbe"
"Next Payment","Sljedeći Račun"
"Next Delivery","Sljedeća Dostava"
"Subscription type","Tip trajne narudžbe"
"Last order state","Status zadnje narudžbe"
"Last Order Amount","Iznos zadnje narudžbe"
"Subscribers list","Lista preplatnika trajne narudžbe"
"Periodicity","Periodi"
"Subscriptions Alerts","Obavijesti trajne narudžbe"
"Downloadable subscription/recurring payment","Plaćanje trajne narudžbe (downloadable)"
"Configurable subscription/recurring payment","Plaćanje trajne narudžbe (konfigurabilno)"
"Grouped subscription/recurring payment","Plaćanje trajne narudžbe (grupirano)"
"Show \"Next payment\" column at customer account","Prikaz stupca \"Sljedeća naplata\" kupcu"
"Show \"Next delivery\" column at customer account","Prikaz stupca \"Sljedeća dostava\" kupcu"
"Show \"Order amount\" column at customer account","Prikaz stupca \"Iznos narudžbe\" kupcu"
"Show \"Expire date\" column at customer account","Prikaz stupca \"Istječe\" kupcu"
"Activate on order status","Aktiviraj narudžbu status"
"Alerts sender","Pošiljatelj obavijesti"
"No subsription","Bez trajne narudžbe"
"Delivery notice","Napomena dostavljaču"
"Subscription from","Trajna narudžba od"
"Last order amount","Iznos zadnje narudžbe"
"No subscription","Bez trajne narudžbe"
"Delivery Notice","Napomena dostavljaču"
"My subscriptions","Moje trajne narudžbe"
"My Subscriptions","Moje trajne narudžbe"
"First Period Price","Cijena prvog perioda"
"This subscription isn\'t belong this customer!","Ova trajna narudžba ne pripada ovom kupcu!"
"Oops! Something going wrong and now you have suspended subscriptions.","Ups! Nešto je pošlo po krivu i sad imate suspendirane trajne narudžbe."
"You have suspended subscriptions!","Imate suspendirane trajne narudžbe!"
"Period must be more 0","Period mora biti veći od 0"
"Can not save period. %s","Nije moguće spremiti period. %s"
"SAVE WITH AUTOSHIP! Learn more.","UŠTEDI SA TRAJNOM NARUDŽBOM! Saznaj više."
"SAVE UP TO %s WITH AUTOSHIP! Learn more.","UŠTEDI DO %s SA TRAJNOM NARUDŽBOM! Saznaj više."
"bottle","bočica"
"bottles","bočice"
"Pricing","Cijene"
"Each","Svaki"
