"Enabled","Uključeno"
"Title","Naslov"
"Network","Mreža"
"Debug","Debug"
"New","Novo"
"Paid","Plaćeno"
"Confirmed","Potvrđeno"
"Complete","Završeno"
"Expired","Isteklo"
"Invalid","Nije valjano"
"Low","Mali"
"Medium","Srednji"
"High","Veliki"
"Livenet","Livenet"
"Testnet","Testnet"
"You will be transfered to BitPay to complete your purchase when using this payment method.":"Sve proizvode iz naše ponude možete platiti Bitcoin digitalnom valutom putem Bitpay-a, jednog od najsigurnijih sutava plaćanja Bitcoinom, sada integriranog u naše web stranice."